Corpus Type: binary
Topic Count: 10

test_14826        2: 0.347172681428323   4: 0.288428204057364   9: 0.261181653614965   7: 0.078702195466954   6: 0.022405034225397   8: 0.000422052607822   5: 0.000422049132863   0: 0.000422047120247   3: 0.000422046815941   1: 0.000422035530124 

test_14828        4: 0.513938290749227   8: 0.230012599478886   3: 0.102239769499056   2: 0.099106356105810   7: 0.042795980920845   5: 0.002381532453440   9: 0.002381497561851   0: 0.002381455701336   6: 0.002381300505373   1: 0.002381217024177 

test_14829        4: 0.777378498035158   8: 0.154975771603119   1: 0.056531743492928   0: 0.001587839369277   3: 0.001587832636592   9: 0.001587731445878   7: 0.001587708490134   6: 0.001587679403912   2: 0.001587655872560   5: 0.001587539650441 

test_14832        4: 0.934238295205973   3: 0.050375092850555   8: 0.001923518141647   7: 0.001923458824591   0: 0.001923406315728   2: 0.001923350325349   6: 0.001923247480441   9: 0.001923223476068   5: 0.001923211644817   1: 0.001923195734832 

test_14833        4: 0.956352686987725   1: 0.030740980336117   7: 0.001613473085191   6: 0.001613405046937   5: 0.001613382114834   3: 0.001613278949632   0: 0.001613233522319   2: 0.001613223134004   8: 0.001613173597347   9: 0.001613163225894 

test_14839        9: 0.500063566455767   2: 0.271802774300722   8: 0.163207601289677   4: 0.056353188483137   7: 0.001429060232586   5: 0.001428809658507   3: 0.001428793729084   6: 0.001428782798710   1: 0.001428769749937   0: 0.001428653301873 

test_14840        4: 0.767102519111717   2: 0.150734772935297   7: 0.044060023323555   9: 0.033183758796882   8: 0.000819885123541   3: 0.000819865068285   6: 0.000819827679119   5: 0.000819804345494   1: 0.000819800279257   0: 0.000819743336854 

test_14841        4: 0.460829113641901   8: 0.413001626959452   3: 0.100237916619088   1: 0.003705140094791   5: 0.003704763925730   0: 0.003704508165596   9: 0.003704405709631   6: 0.003704319650695   7: 0.003704195105741   2: 0.003704010127374 

test_14842        3: 0.569215484041450   9: 0.255498546452594   8: 0.111317405334081   7: 0.051966978443388   4: 0.002000426230973   0: 0.002000292439888   6: 0.002000255510662   2: 0.002000214348417   5: 0.002000204945554   1: 0.002000192252994 

test_14843        7: 0.619026420617480   2: 0.155383087633894   6: 0.089528040968388   3: 0.085068298212879   4: 0.031488172704813   9: 0.017443495956543   1: 0.000515670448707   0: 0.000515643767296   5: 0.000515626304779   8: 0.000515543385221 

test_14844        9: 0.493010004074006   7: 0.222669864342255   8: 0.155782492341302   4: 0.110352363295782   3: 0.003031377888074   2: 0.003031089815665   5: 0.003030805896761   1: 0.003030749940331   6: 0.003030728705090   0: 0.003030523700734 

test_14849        2: 0.437991762539603   7: 0.387583753731486   6: 0.144897441673333   3: 0.021525313935744   0: 0.001333971958214   5: 0.001333585698183   4: 0.001333581990382   9: 0.001333546501799   1: 0.001333531318766   8: 0.001333510652490 

