Corpus Type: binary
Topic Count: 10

test_14826       0: 0.000422047120247  1: 0.000422035530124  2: 0.347172681428323  3: 0.000422046815941  4: 0.288428204057364  5: 0.000422049132863  6: 0.022405034225397  7: 0.078702195466954  8: 0.000422052607822  9: 0.261181653614965 

test_14828       0: 0.002381455701336  1: 0.002381217024177  2: 0.099106356105810  3: 0.102239769499056  4: 0.513938290749227  5: 0.002381532453440  6: 0.002381300505373  7: 0.042795980920845  8: 0.230012599478886  9: 0.002381497561851 

test_14829       0: 0.001587839369277  1: 0.056531743492928  2: 0.001587655872560  3: 0.001587832636592  4: 0.777378498035158  5: 0.001587539650441  6: 0.001587679403912  7: 0.001587708490134  8: 0.154975771603119  9: 0.001587731445878 

test_14832       0: 0.001923406315728  1: 0.001923195734832  2: 0.001923350325349  3: 0.050375092850555  4: 0.934238295205973  5: 0.001923211644817  6: 0.001923247480441  7: 0.001923458824591  8: 0.001923518141647  9: 0.001923223476068 

test_14833       0: 0.001613233522319  1: 0.030740980336117  2: 0.001613223134004  3: 0.001613278949632  4: 0.956352686987725  5: 0.001613382114834  6: 0.001613405046937  7: 0.001613473085191  8: 0.001613173597347  9: 0.001613163225894 

test_14839       0: 0.001428653301873  1: 0.001428769749937  2: 0.271802774300722  3: 0.001428793729084  4: 0.056353188483137  5: 0.001428809658507  6: 0.001428782798710  7: 0.001429060232586  8: 0.163207601289677  9: 0.500063566455767 

test_14840       0: 0.000819743336854  1: 0.000819800279257  2: 0.150734772935297  3: 0.000819865068285  4: 0.767102519111717  5: 0.000819804345494  6: 0.000819827679119  7: 0.044060023323555  8: 0.000819885123541  9: 0.033183758796882 

test_14841       0: 0.003704508165596  1: 0.003705140094791  2: 0.003704010127374  3: 0.100237916619088  4: 0.460829113641901  5: 0.003704763925730  6: 0.003704319650695  7: 0.003704195105741  8: 0.413001626959452  9: 0.003704405709631 

test_14842       0: 0.002000292439888  1: 0.002000192252994  2: 0.002000214348417  3: 0.569215484041450  4: 0.002000426230973  5: 0.002000204945554  6: 0.002000255510662  7: 0.051966978443388  8: 0.111317405334081  9: 0.255498546452594 

test_14843       0: 0.000515643767296  1: 0.000515670448707  2: 0.155383087633894  3: 0.085068298212879  4: 0.031488172704813  5: 0.000515626304779  6: 0.089528040968388  7: 0.619026420617480  8: 0.000515543385221  9: 0.017443495956543 

test_14844       0: 0.003030523700734  1: 0.003030749940331  2: 0.003031089815665  3: 0.003031377888074  4: 0.110352363295782  5: 0.003030805896761  6: 0.003030728705090  7: 0.222669864342255  8: 0.155782492341302  9: 0.493010004074006 

test_14849       0: 0.001333971958214  1: 0.001333531318766  2: 0.437991762539603  3: 0.021525313935744  4: 0.001333581990382  5: 0.001333585698183  6: 0.144897441673333  7: 0.387583753731486  8: 0.001333510652490  9: 0.001333546501799 

test_14852       0: 0.001111464901892  1: 0.001111235424096  2: 0.001111456374401  3: 0.700712643193211  4: 0.001111470633040  5: 0.001111397810822  6: 0.031219768972335  7: 0.087703977676761  8: 0.173695024758851  9: 0.001111560254590 

test_14854       0: 0.003333790737935  1: 0.003333471614951  2: 0.126454619601560  3: 0.003333934066791  4: 0.846873336991220  5: 0.003333558585239  6: 0.003334349857631  7: 0.003333816432812  8: 0.003333918009947  9: 0.003335204101916 

test_14858       0: 0.000719586702857  1: 0.000720059700779  2: 0.000719629850034  3: 0.093055551440838  4: 0.620360353410204  5: 0.000719597750511  6: 0.000719634027662  7: 0.145448460894722  8: 0.136817487515739  9: 0.000719638706654 

test_14859       0: 0.002703403848375  1: 0.195378307040820  2: 0.002703426613986  3: 0.498714576700286  4: 0.129420056685064  5: 0.002703316839691  6: 0.160267007296640  7: 0.002703327131893  8: 0.002703333442772  9: 0.002703244400474 

test_14860       0: 0.935091734276477  1: 0.003228258139797  2: 0.003227234907753  3: 0.003227301764120  4: 0.003227226121896  5: 0.003226377201509  6: 0.003227000322150  7: 0.003227199994448  8: 0.003226039279937  9: 0.039091627991912 

test_14861       0: 0.002564616496189  1: 0.002564218333505  2: 0.002564795635313  3: 0.002564446569451  4: 0.002564701440650  5: 0.002564260401104  6: 0.002565135957651  7: 0.870063261918552  8: 0.002564352802687  9: 0.109420210444898 

test_14862       0: 0.000980528202654  1: 0.000980469985587  2: 0.609733816670914  3: 0.000980563581095  4: 0.382421856319977  5: 0.000980504953930  6: 0.000980530864853  7: 0.000980587678520  8: 0.000980574166073  9: 0.000980567576397 

test_14863       0: 0.041441920678238  1: 0.001041869661763  2: 0.001041859545729  3: 0.153646525370453  4: 0.298854070457954  5: 0.001041924601135  6: 0.116551358956797  7: 0.352025958298860  8: 0.001042057182186  9: 0.033312455246885 

test_14865       0: 0.038283323647519  1: 0.143904277136575  2: 0.002631917104972  3: 0.542066851914573  4: 0.002632074984891  5: 0.002632285040414  6: 0.002631955118486  7: 0.002632330471433  8: 0.002632302347227  9: 0.259952682233910 

test_14867       0: 0.002174202213264  1: 0.002174054382621  2: 0.002174601680563  3: 0.002174543771885  4: 0.980430610997370  5: 0.002174247864038  6: 0.002175142613460  7: 0.002174268698642  8: 0.002174113714063  9: 0.002174214064095 

test_14872       0: 0.001639889737923  1: 0.001639487161727  2: 0.001639904805373  3: 0.746712300410652  4: 0.001639947545505  5: 0.001639574285092  6: 0.001639652643564  7: 0.240170174395282  8: 0.001639515491236  9: 0.001639553523646 

test_14873       0: 0.096151617561703  1: 0.001470844975987  2: 0.001471062353292  3: 0.001471068256460  4: 0.064710931354306  5: 0.001470923696247  6: 0.373207094052890  7: 0.457104820118620  8: 0.001470796389509  9: 0.001470841240987 

test_14875       0: 0.185163691693563  1: 0.131386520017992  2: 0.002223013765285  3: 0.002222948208489  4: 0.667889929778290  5: 0.002223051497909  6: 0.002222625373423  7: 0.002223052696983  8: 0.002222561851959  9: 0.002222605116106 

test_14876       0: 0.539651447430549  1: 0.296328530698222  2: 0.003333616526522  3: 0.140683567313986  4: 0.003333867327193  5: 0.003334110598558  6: 0.003333716248452  7: 0.003333588895722  8: 0.003333805376627  9: 0.003333749584168 

test_14877       0: 0.002941223986937  1: 0.002941706877123  2: 0.002941904258063  3: 0.002941467655338  4: 0.002941994143838  5: 0.002942034033550  6: 0.002941627718087  7: 0.002942045716358  8: 0.002942465245179  9: 0.973523530365526 

test_14881       0: 0.001333393704605  1: 0.001333429759943  2: 0.249593534105059  3: 0.001333532043235  4: 0.173784893740281  5: 0.001333633683598  6: 0.001333639185770  7: 0.001333695696388  8: 0.001333570101162  9: 0.567286677979957 

test_14882       0: 0.002439629758535  1: 0.043000161423698  2: 0.002439443764211  3: 0.002439860824393  4: 0.690879241094264  5: 0.002439508803871  6: 0.129573445620087  7: 0.002439394994454  8: 0.121909978037214  9: 0.002439335679272 

test_14885       0: 0.002381060772715  1: 0.002381100318435  2: 0.002381520275758  3: 0.002381379394027  4: 0.978567468736013  5: 0.002381569785988  6: 0.002381382954915  7: 0.002381638598390  8: 0.002381388081003  9: 0.002381491082757 

test_14886       0: 0.006666916593354  1: 0.006667962022309  2: 0.006667494526212  3: 0.006667609551399  4: 0.496083355746683  5: 0.006669026912317  6: 0.006668115380609  7: 0.006670133610278  8: 0.450571481095196  9: 0.006667904561644 

test_14888       0: 0.001123743780145  1: 0.001123734593925  2: 0.001123922450885  3: 0.183354572184791  4: 0.211611246314446  5: 0.597167283510512  6: 0.001123922167220  7: 0.001123881098083  8: 0.001123857938406  9: 0.001123835961587 

test_14890       0: 0.013160237023547  1: 0.000458862929521  2: 0.504954433621651  3: 0.010081064280418  4: 0.181855558254587  5: 0.000458818892929  6: 0.103745705587269  7: 0.177461759513229  8: 0.007364724886595  9: 0.000458835010255 

test_14891       0: 0.000411591623871  1: 0.000411664053174  2: 0.189698583830582  3: 0.109081373817581  4: 0.503634664713345  5: 0.000411593953413  6: 0.005751917219280  7: 0.114755790455559  8: 0.000411642599003  9: 0.075431177734192 

test_14892       0: 0.001562755178155  1: 0.001562731923918  2: 0.001562791958305  3: 0.083743269326804  4: 0.865668754190173  5: 0.001562776609467  6: 0.001562892479949  7: 0.001563044599888  8: 0.039648138700835  9: 0.001562845032504 

test_14899       0: 0.010000730378955  1: 0.695312904738680  2: 0.010002643571016  3: 0.010001962511420  4: 0.010000837823238  5: 0.010001412984395  6: 0.224673844326644  7: 0.010002560459972  8: 0.010001399622774  9: 0.010001703582906 

test_14900       0: 0.001428884700644  1: 0.001428791495125  2: 0.165225744153497  3: 0.757832825192012  4: 0.036184538922783  5: 0.001428970610454  6: 0.001428877149596  7: 0.001429230155668  8: 0.001428857528477  9: 0.032183280091743 

test_14903       0: 0.418152296139876  1: 0.159209701167666  2: 0.003705142122660  3: 0.003705092188599  4: 0.396705573541493  5: 0.003704376368435  6: 0.003704481167069  7: 0.003704580019822  8: 0.003704369136151  9: 0.003704388148229 

test_14904       0: 0.001190627503317  1: 0.001190759123506  2: 0.001190841162502  3: 0.001190651127931  4: 0.577428559761713  5: 0.001190719149083  6: 0.164332954133760  7: 0.001190910054969  8: 0.001190714758752  9: 0.249903263224468 

test_14907       0: 0.002631771584602  1: 0.086148517892208  2: 0.002632712270182  3: 0.535581383362910  4: 0.002632311471057  5: 0.359843418737210  6: 0.002632613428346  7: 0.002632519562273  8: 0.002632355609276  9: 0.002632396081934 

test_14909       0: 0.001538808289490  1: 0.001538786057401  2: 0.001538762422111  3: 0.124209679109638  4: 0.738228068366529  5: 0.001539012562956  6: 0.001538716615818  7: 0.001538833656011  8: 0.001539030228467  9: 0.126790302691579 

test_14911       0: 0.001149652739233  1: 0.057012780590882  2: 0.407925839123251  3: 0.086201024274457  4: 0.001149666858253  5: 0.147721517454655  6: 0.022858100319057  7: 0.273682068402351  8: 0.001149639485668  9: 0.001149710752194 

test_14912       0: 0.001351413054858  1: 0.001351450426790  2: 0.250342697077234  3: 0.001351555148803  4: 0.178953885141465  5: 0.001351660487397  6: 0.001351661126186  7: 0.001351722770642  8: 0.001351594131141  9: 0.561242360635485 

test_14913       0: 0.002777909457020  1: 0.002778105952996  2: 0.002778832519590  3: 0.002778224417119  4: 0.002778642627985  5: 0.002778998294011  6: 0.002778401892270  7: 0.974994708912349  8: 0.002778076367153  9: 0.002778099559506 

test_14918       0: 0.005263877864851  1: 0.005263904826522  2: 0.331060002161812  3: 0.005263931806388  4: 0.626825212933929  5: 0.005264177514998  6: 0.005263908495352  7: 0.005266509599746  8: 0.005264437784736  9: 0.005264037011665 

test_14919       0: 0.003846549918637  1: 0.003846299490378  2: 0.003846531076993  3: 0.003846671659294  4: 0.003846805085218  5: 0.003846561012541  6: 0.003846487617878  7: 0.965381323660071  8: 0.003846362184899  9: 0.003846408294091 

test_14921       0: 0.000471831665223  1: 0.000471850277501  2: 0.068866356232787  3: 0.468568808323061  4: 0.000471851666947  5: 0.206886659363361  6: 0.067347264604308  7: 0.074720842852247  8: 0.050641702732296  9: 0.061552832282270 

test_14922       0: 0.001562969877184  1: 0.001562885354966  2: 0.026323581135728  3: 0.001562785067567  4: 0.591374003507272  5: 0.182798713625112  6: 0.001562680691184  7: 0.001562784988237  8: 0.190126906405674  9: 0.001562689347077 

test_14923       0: 0.002777825428792  1: 0.002777848578661  2: 0.002778138448281  3: 0.002778029482999  4: 0.974997509735643  5: 0.002778080372041  6: 0.002778034903398  7: 0.002778331517253  8: 0.002778140627519  9: 0.002778060905412 

test_14926       0: 0.002564883923228  1: 0.002564307956035  2: 0.002564569400274  3: 0.976918620146320  4: 0.002565232111838  5: 0.002564746817411  6: 0.002564368724770  7: 0.002564393743622  8: 0.002564476801553  9: 0.002564400374948 

test_14928       0: 0.001492722676211  1: 0.001493700595750  2: 0.001492828718250  3: 0.001492894956497  4: 0.800965597480391  5: 0.001492798613494  6: 0.001492783272106  7: 0.187091244182561  8: 0.001492751548783  9: 0.001492677955955 

test_14930       0: 0.003035395947400  1: 0.075938023391024  2: 0.003031042986658  3: 0.870844921729633  4: 0.003031409109602  5: 0.003030766649543  6: 0.031996288547942  7: 0.003030779227927  8: 0.003030666528008  9: 0.003030705882264 

test_14931       0: 0.000685038523107  1: 0.000684984982640  2: 0.677473552622849  3: 0.000685052004639  4: 0.228355824006240  5: 0.000685030177918  6: 0.000685049787938  7: 0.089375059248358  8: 0.000685072867127  9: 0.000685335779184 

test_14932       0: 0.002942014740212  1: 0.002941984174398  2: 0.260402819263234  3: 0.002941950898501  4: 0.002941448363981  5: 0.582377261421142  6: 0.002941494955368  7: 0.136627530360972  8: 0.002941466684244  9: 0.002942029137949 

test_14933       0: 0.160554728759310  1: 0.002083593555600  2: 0.002083796364425  3: 0.355289443629676  4: 0.228944038177552  5: 0.002083664085391  6: 0.002083623116448  7: 0.242709332446158  8: 0.002083578469806  9: 0.002084201395635 

test_14934       0: 0.006667296319914  1: 0.800326247214638  2: 0.006666722183712  3: 0.006666884843436  4: 0.006666718627383  5: 0.146338763419784  6: 0.006666785095233  7: 0.006666723315995  8: 0.006667067627832  9: 0.006666791352072 

test_14941       0: 0.001639769219174  1: 0.001639534123265  2: 0.001639899401690  3: 0.465805078333378  4: 0.001639774951954  5: 0.001639887989758  6: 0.521077147985480  7: 0.001639726486438  8: 0.001639539686810  9: 0.001639641822052 

test_14943       0: 0.014286834344772  1: 0.014286837927748  2: 0.014286892856852  3: 0.014288302733248  4: 0.014286280367273  5: 0.871406897298396  6: 0.014294335326735  7: 0.014287002023911  8: 0.014287854567416  9: 0.014288762553649 

test_14949       0: 0.002000715742122  1: 0.002000297514971  2: 0.002000364920418  3: 0.156211244069869  4: 0.002000381837475  5: 0.401906921977113  6: 0.002000374499868  7: 0.002000328218220  8: 0.002000361211925  9: 0.427879010008017 

test_14951       0: 0.002083579706021  1: 0.002083700594927  2: 0.002083798113681  3: 0.193393736141890  4: 0.517756553555834  5: 0.002083757483918  6: 0.002083767231494  7: 0.002084043481966  8: 0.031874117911929  9: 0.244472945778341 

test_14954       0: 0.924993400333001  1: 0.008333890787536  2: 0.008333936056910  3: 0.008335074933693  4: 0.008334240190521  5: 0.008334104536158  6: 0.008333993950370  7: 0.008333543640922  8: 0.008333481997246  9: 0.008334333573642 

test_14957       0: 0.001785836111399  1: 0.001785992316630  2: 0.256079785936094  3: 0.001785992944426  4: 0.001786251657861  5: 0.001786060963690  6: 0.001785999835766  7: 0.001786375103332  8: 0.175322838481003  9: 0.556094866649800 

test_14958       0: 0.619619873023010  1: 0.020002466168211  2: 0.020000004314569  3: 0.020000763738223  4: 0.020000008937809  5: 0.220373785104848  6: 0.020000043699475  7: 0.020000010384994  8: 0.020000009840476  9: 0.020003034788385 

test_14959       0: 0.001282161421080  1: 0.001282201836982  2: 0.001282310030258  3: 0.001282260891799  4: 0.089465518946218  5: 0.001282270082284  6: 0.774798385794280  7: 0.001282305646870  8: 0.126760150692699  9: 0.001282434657530 

test_14960       0: 0.947056824009257  1: 0.005882693475691  2: 0.005882387462201  3: 0.005882566114896  4: 0.005882396869097  5: 0.005882569804334  6: 0.005882441617946  7: 0.005882397119374  8: 0.005883175443847  9: 0.005882548083355 

test_14962       0: 0.676576428849866  1: 0.133302972311702  2: 0.010000066832384  3: 0.010000839826325  4: 0.010000156342943  5: 0.120117702502740  6: 0.010000171260208  7: 0.010000111227708  8: 0.010000080055575  9: 0.010001470790549 

test_14963       0: 0.939997236791240  1: 0.006667104509726  2: 0.006666951360439  3: 0.006667038617718  4: 0.006666920216042  5: 0.006667048610011  6: 0.006666832622858  7: 0.006666892781179  8: 0.006666930886838  9: 0.006667043603948 

test_14964       0: 0.004348277320371  1: 0.004348044453462  2: 0.004348282976637  3: 0.004348490846648  4: 0.004348301363799  5: 0.004348301728869  6: 0.004348197541409  7: 0.960866029811035  8: 0.004348038530299  9: 0.004348035427471 

test_14965       0: 0.887494171790664  1: 0.012501182440950  2: 0.012500198100650  3: 0.012500628190165  4: 0.012500090380599  5: 0.012500706644059  6: 0.012500307438544  7: 0.012502356945030  8: 0.012500101163011  9: 0.012500256906328 

test_14967       0: 0.004001300693291  1: 0.110805816726629  2: 0.004001184302996  3: 0.857186558874522  4: 0.004001169292612  5: 0.004001165330808  6: 0.004000739308257  7: 0.004000945871641  8: 0.004000417065305  9: 0.004000702533939 

test_14968       0: 0.646666807040948  1: 0.008334453981623  2: 0.008334518398039  3: 0.008333785531295  4: 0.008333529596831  5: 0.008333570932445  6: 0.286662105077713  7: 0.008334319938871  8: 0.008333428734416  9: 0.008333480767819 

test_14969       0: 0.962494559848853  1: 0.004167258491789  2: 0.004167487617946  3: 0.004167290582140  4: 0.004166966764472  5: 0.004167465263678  6: 0.004167776240910  7: 0.004167417551316  8: 0.004166855567799  9: 0.004166922071096 

