Topic 0
Topic coherence: -16663.8385267
AVG: -2.77962277343
SD:  1.14641111975
net usair  0.000478159528903     -7.96797317966/-16663.8385267
shr usair  0.000465758184616     -7.76131918095/-16663.8385267
fell shr  0.000465758184616     -7.76131918095/-16663.8385267
qtr usair  0.000457584075602     -7.62510714824/-16663.8385267
chemlawn year  0.00045063658376     -7.50933526602/-16663.8385267
billion chemlawn  0.000446060212176     -7.4330753489/-16663.8385267
ct usair  0.000440583232498     -7.34180784394/-16663.8385267
loss usair  0.000440173605085     -7.33498187887/-16663.8385267
loss piedmont  0.000440173605085     -7.33498187887/-16663.8385267
chemlawn loss  0.000440173605085     -7.33498187887/-16663.8385267
excludes expect  0.000437940410357     -7.29776828253/-16663.8385267
expect mths  0.000437940410357     -7.29776828253/-16663.8385267
bank discontinue  0.000437899766818     -7.29709100516/-16663.8385267
bank chemlawn  0.000437899766818     -7.29709100516/-16663.8385267
bank shell  0.000437899766818     -7.29709100516/-16663.8385267
fell rev  0.000436750425856     -7.27793857295/-16663.8385267
piedmont rev  0.000436750425856     -7.27793857295/-16663.8385267
rev shell  0.000436750425856     -7.27793857295/-16663.8385267
chemlawn net  0.00043656363973     -7.2748259991/-16663.8385267
rise shrs  0.000433427508748     -7.22256601882/-16663.8385267
mths rise  0.000433427508748     -7.22256601882/-16663.8385267
avg rise  0.000433427508748     -7.22256601882/-16663.8385267
chemlawn group  0.00042934977709     -7.15461535691/-16663.8385267
chemlawn report  0.000426024396009     -7.09920174355/-16663.8385267
profit usair  0.000425875548848     -7.09672137849/-16663.8385267
piedmont shr  0.000424162295443     -7.06817200039/-16663.8385267
chemlawn shr  0.000424162295443     -7.06817200039/-16663.8385267
shell shr  0.000424162295443     -7.06817200039/-16663.8385267
cubic shr  0.000424162295443     -7.06817200039/-16663.8385267
chemlawn pct  0.000418633244387     -6.9760367864/-16663.8385267
mths week  0.000418427377348     -6.9726062513/-16663.8385267
oil piedmont  0.000418314787854     -6.97073007814/-16663.8385267
chemlawn oil  0.000418314787854     -6.97073007814/-16663.8385267
chemlawn u.s.  0.000416975791595     -6.9484172607/-16663.8385267
ct piedmont  0.000416251197148     -6.93634273583/-16663.8385267
piedmont qtr  0.000415988186429     -6.93195996768/-16663.8385267
chemlawn qtr  0.000415988186429     -6.93195996768/-16663.8385267
qtr shell  0.000415988186429     -6.93195996768/-16663.8385267
net piedmont  0.000412231604379     -6.86936089099/-16663.8385267
chemlawn current  0.000409597106051     -6.82546003626/-16663.8385267
chemlawn unit  0.000407068586852     -6.7833252006/-16663.8385267
quarter usair  0.000404499800499     -6.74051935961/-16663.8385267
piedmont quarter  0.000404499800499     -6.74051935961/-16663.8385267
chemlawn include  0.000401406745177     -6.68897718518/-16663.8385267
analyst shr  0.000399830260092     -6.66270689228/-16663.8385267
chemlawn ct  0.000398987343325     -6.64866066338/-16663.8385267
chemlawn investment  0.000398928996035     -6.64768837356/-16663.8385267
end usair  0.00039842092893     -6.63922202537/-16663.8385267
operation usair  0.000398303069286     -6.63725803128/-16663.8385267
operation piedmont  0.000398303069286     -6.63725803128/-16663.8385267
tax usair  0.00039719173784     -6.61873898352/-16663.8385267
piedmont tax  0.00039719173784     -6.61873898352/-16663.8385267
chemlawn tax  0.00039719173784     -6.61873898352/-16663.8385267
avg make  0.000396910659185     -6.6140551342/-16663.8385267
january piedmont  0.00039670907961     -6.61069604472/-16663.8385267
chemlawn january  0.00039670907961     -6.61069604472/-16663.8385267
expect usair  0.000396344521184     -6.60462110197/-16663.8385267
expect piedmont  0.000396344521184     -6.60462110197/-16663.8385267
chemlawn expect  0.000396344521184     -6.60462110197/-16663.8385267
avg expect  0.000396344521184     -6.60462110197/-16663.8385267
chemlawn due  0.000395237366486     -6.58617165485/-16663.8385267
business excludes  0.000395154536682     -6.58479139239/-16663.8385267
business piedmont  0.000395154536682     -6.58479139239/-16663.8385267
chemlawn rev  0.000395154536682     -6.58479139239/-16663.8385267
cubic rev  0.000395154536682     -6.58479139239/-16663.8385267
analyst mths  0.000394822069444     -6.57925121201/-16663.8385267
chemlawn compare  0.000394571504642     -6.5750758406/-16663.8385267
chemlawn month  0.000392050236148     -6.53306182954/-16663.8385267
excludes rise  0.000391831619575     -6.52941883826/-16663.8385267
cubic qtr  0.000391656151078     -6.52649485957/-16663.8385267
estimate shrs  0.000391126646028     -6.51767127291/-16663.8385267
analyst shrs  0.000391126646028     -6.51767127291/-16663.8385267
analyst avg  0.000390681794598     -6.51025834052/-16663.8385267
increase piedmont  0.000389827382655     -6.49602055786/-16663.8385267
note piedmont  0.000387062301411     -6.4499436905/-16663.8385267
chemlawn reserve  0.000386904004872     -6.44730586254/-16663.8385267
usair year  0.000384708659236     -6.41072297735/-16663.8385267
piedmont year  0.000384708659236     -6.41072297735/-16663.8385267
chemlawn mln  0.000384440894117     -6.40626098265/-16663.8385267
piedmont profit  0.000384279659675     -6.40357419793/-16663.8385267
asset piedmont  0.000384279659675     -6.40357419793/-16663.8385267
chemlawn profit  0.000384279659675     -6.40357419793/-16663.8385267
asset chemlawn  0.000384279659675     -6.40357419793/-16663.8385267
chemlawn cost  0.000384279659675     -6.40357419793/-16663.8385267
earnings usair  0.000383780819038     -6.39526159812/-16663.8385267
chemlawn earnings  0.000383780819038     -6.39526159812/-16663.8385267
chemlawn credit  0.000383479512047     -6.39024066707/-16663.8385267
earn shr  0.000382566406269     -6.37502481983/-16663.8385267
excludes total  0.000380802799466     -6.34563636083/-16663.8385267
chemlawn total  0.000380802799466     -6.34563636083/-16663.8385267
billion piedmont  0.000380132287652     -6.33446306023/-16663.8385267
capital chemlawn  0.000377223896188     -6.28599809451/-16663.8385267
cubic week  0.000376831488175     -6.27945907074/-16663.8385267
discontinue loan  0.000376775219833     -6.27852142417/-16663.8385267
chemlawn loan  0.000376775219833     -6.27852142417/-16663.8385267
chemlawn fell  0.000376549617375     -6.27476202124/-16663.8385267
fell shrs  0.000376549617375     -6.27476202124/-16663.8385267
fell mths  0.000376549617375     -6.27476202124/-16663.8385267
avg fell  0.000376549617375     -6.27476202124/-16663.8385267
ct cubic  0.000374655307975     -6.24319555527/-16663.8385267
end piedmont  0.00037408889358     -6.23375691726/-16663.8385267
expect shrs  0.000372012485834     -6.19915599386/-16663.8385267
bank usair  0.000371971842295     -6.19847871649/-16663.8385267
bank piedmont  0.000371971842295     -6.19847871649/-16663.8385267
analyst rev  0.000370822501332     -6.17932628428/-16663.8385267
chemlawn interest  0.000370801776005     -6.17898092078/-16663.8385267
note usair  0.000369798447588     -6.16226161805/-16663.8385267
chemlawn note  0.000369798447588     -6.16226161805/-16663.8385267
march piedmont  0.000368670763386     -6.14347007059/-16663.8385267
piedmont rise  0.000367499584224     -6.12395373015/-16663.8385267
chemlawn rise  0.000367499584224     -6.12395373015/-16663.8385267
chemlawn debt  0.000366617065628     -6.10924758276/-16663.8385267
sale usair  0.000366349759248     -6.10479323241/-16663.8385267
piedmont sale  0.000366349759248     -6.10479323241/-16663.8385267
chemlawn increase  0.000365495347304     -6.09055544975/-16663.8385267
chemlawn lt  0.00036437533804     -6.07189179622/-16663.8385267
operate piedmont  0.000363045611941     -6.04973345523/-16663.8385267
chemlawn operate  0.000363045611941     -6.04973345523/-16663.8385267
chemlawn quarter  0.000362903911325     -6.04737217905/-16663.8385267
income usair  0.000362333739026     -6.03787091992/-16663.8385267
income piedmont  0.000362333739026     -6.03787091992/-16663.8385267
corp usair  0.000361998619463     -6.03228654163/-16663.8385267
piedmont report  0.000360096471486     -6.00058945488/-16663.8385267
chemlawn gain  0.000358945761606     -5.98141421125/-16663.8385267
high shr  0.000358234370919     -5.96955971172/-16663.8385267
canada piedmont  0.000357410890648     -5.95583736946/-16663.8385267
canada chemlawn  0.000357410890648     -5.95583736946/-16663.8385267
ct shell  0.000357391454152     -5.95551348282/-16663.8385267
investment piedmont  0.000357333106862     -5.954541193/-16663.8385267
revenue usair  0.000357255222123     -5.95324333429/-16663.8385267
piedmont revenue  0.000357255222123     -5.95324333429/-16663.8385267
chemlawn revenue  0.000357255222123     -5.95324333429/-16663.8385267
chemlawn operation  0.000356707180113     -5.94411085072/-16663.8385267
bank excludes  0.000354707988472     -5.91079664404/-16663.8385267
bank cubic  0.000354707988472     -5.91079664404/-16663.8385267
gas usair  0.000353558647509     -5.89164421183/-16663.8385267
earn rev  0.000353558647509     -5.89164421183/-16663.8385267
chemlawn gas  0.000353558647509     -5.89164421183/-16663.8385267
cubic prior  0.000353558647509     -5.89164421183/-16663.8385267
make mths  0.000353226180271     -5.88610403145/-16663.8385267
high mths  0.000353226180271     -5.88610403145/-16663.8385267
compare piedmont  0.000352975615468     -5.88192866004/-16663.8385267
compare shrs  0.000352975615468     -5.88192866004/-16663.8385267
avg compare  0.000352975615468     -5.88192866004/-16663.8385267
chemlawn sale  0.000352958873891     -5.8816496811/-16663.8385267
mths u.s.  0.000351047867071     -5.84980497203/-16663.8385267
mln piedmont  0.000350858248256     -5.84664519471/-16663.8385267
chemlawn sell  0.00035067217002     -5.84354441703/-16663.8385267
billion usair  0.000349477548472     -5.82363743646/-16663.8385267
avg estimate  0.000349085905425     -5.81711115996/-16663.8385267
expect shr  0.000348983760408     -5.81540903189/-16663.8385267
fiscal piedmont  0.000348907037385     -5.81413053183/-16663.8385267
chemlawn fiscal  0.000348907037385     -5.81413053183/-16663.8385267
oper usair  0.000347088407815     -5.78382518233/-16663.8385267
oper rise  0.000347088407815     -5.78382518233/-16663.8385267
