Topic 0
Topic coherence: -297.927108147
AVG: -1.5680374113
SD:  0.633567675076
billion oper  0.0137646784283     -4.10087083872/-297.927108147
oper share  0.0102627232347     -3.05754345503/-297.927108147
lt oper  0.010005297475     -2.98084934286/-297.927108147
mln oper  0.00966645994701     -2.87990045803/-297.927108147
oper sale  0.00965325745141     -2.87596707669/-297.927108147
dlrs oper  0.00924361366746     -2.75392308877/-297.927108147
oper year  0.00923529251879     -2.75144399301/-297.927108147
company gain  0.00888685475476     -2.6476349376/-297.927108147
ct earnings  0.00871648012071     -2.59687571558/-297.927108147
ct dlr  0.00853193117261     -2.54189358116/-297.927108147
earnings oper  0.00847767314636     -2.52572864431/-297.927108147
earnings lt  0.00827981797467     -2.46678222517/-297.927108147
billion operation  0.00797788948557     -2.37682954355/-297.927108147
earnings mln  0.00797663212436     -2.37645494156/-297.927108147
ct operation  0.00791536304603     -2.35820122223/-297.927108147
earnings include  0.00780687120034     -2.32587856039/-297.927108147
company oper  0.00778072627882     -2.31808927953/-297.927108147
ct oper  0.00775817258432     -2.31136992255/-297.927108147
billion gain  0.00775059169292     -2.3091113695/-297.927108147
lt operation  0.00772813306281     -2.30242033478/-297.927108147
oper profit  0.00769550762945     -2.29270033376/-297.927108147
earnings net  0.00767906144855     -2.28780057065/-297.927108147
dlr lt  0.00763542052826     -2.27479875747/-297.927108147
gain lt  0.00761932205272     -2.2700025852/-297.927108147
lt quarter  0.00758735489951     -2.26047870369/-297.927108147
net oper  0.00753334629961     -2.24438807771/-297.927108147
dlr net  0.00753334629961     -2.24438807771/-297.927108147
dlrs earnings  0.00740317613194     -2.20560685609/-297.927108147
mln operation  0.00739588885059     -2.20343577743/-297.927108147
earnings loss  0.00730355352084     -2.17592657966/-297.927108147
mln quarter  0.00727269976894     -2.16673441058/-297.927108147
billion earnings  0.00719910427603     -2.1448083182/-297.927108147
net operation  0.00718958770019     -2.14197307228/-297.927108147
