Corpus Type: bow
Topic Count: 10

test_14826       0: 0.011031288537060  1: 0.009087114006357  2: 0.296597127729358  3: 0.000261173784137  4: 0.565423946660958  5: 0.038353065607001  6: 0.000261170834468  7: 0.000261143362920  8: 0.078462820081337  9: 0.000261149396405 

test_14828       0: 0.001724360053838  1: 0.001724459148090  2: 0.530201635908881  3: 0.087874861842858  4: 0.001724502567846  5: 0.001724743987471  6: 0.001724380104369  7: 0.369852239408106  8: 0.001724461149863  9: 0.001724355828678 

test_14829       0: 0.227499925955235  1: 0.001041825153729  2: 0.534879804535337  3: 0.001041858264088  4: 0.230327080727034  5: 0.001041980636066  6: 0.001041782179784  7: 0.001041920261498  8: 0.001041986574559  9: 0.001041835712670 

test_14832       0: 0.001136647496580  1: 0.001136492940846  2: 0.761863018841440  3: 0.001136528443130  4: 0.001136535350657  5: 0.001136691659261  6: 0.001136554432347  7: 0.229044479155767  8: 0.001136623696498  9: 0.001136427983474 

test_14833       0: 0.001111475505538  1: 0.001111647208361  2: 0.190572074335086  3: 0.001111302814740  4: 0.142403287811731  5: 0.086871431413230  6: 0.001111340443555  7: 0.573484783037879  8: 0.001111406897249  9: 0.001111250532632 

test_14839       0: 0.001010155562294  1: 0.287840085898720  2: 0.092929134354220  3: 0.001010331493033  4: 0.499609191796693  5: 0.001010386940662  6: 0.001010246694882  7: 0.113559597505940  8: 0.001010416046491  9: 0.001010453707067 

test_14840       0: 0.000526401600507  1: 0.000526404451050  2: 0.000655857729433  3: 0.000526397250342  4: 0.309637333891584  5: 0.560394699442413  6: 0.000526412185157  7: 0.126153642746785  8: 0.000526467071602  9: 0.000526383631127 

test_14841       0: 0.088661415808578  1: 0.003226973733674  2: 0.003226186114121  3: 0.073293303973240  4: 0.003226792159067  5: 0.003226155785729  6: 0.003226439923691  7: 0.815460224003247  8: 0.003226003551406  9: 0.003226504947246 

test_14842       0: 0.001639829847926  1: 0.179361365149402  2: 0.001639625715049  3: 0.046821531525266  4: 0.001639488374309  5: 0.762339094937683  6: 0.001639683228885  7: 0.001640120393507  8: 0.001639448687082  9: 0.001639812140891 

test_14843       0: 0.036251809125808  1: 0.089301657957937  2: 0.004794262955767  3: 0.262197385162089  4: 0.000312619241754  5: 0.094456677827117  6: 0.092974215920752  7: 0.000312586971399  8: 0.419086247312397  9: 0.000312537524978 

test_14844       0: 0.002000078330729  1: 0.002000354432377  2: 0.164498798637211  3: 0.002000542993946  4: 0.002000405688787  5: 0.819498785383617  6: 0.002000139096564  7: 0.002000344180589  8: 0.002000406911531  9: 0.002000144344648 

test_14849       0: 0.036255303597792  1: 0.026412877722999  2: 0.000787600284619  3: 0.000787519095889  4: 0.011569444045458  5: 0.000787515867686  6: 0.083169187381530  7: 0.000787499167712  8: 0.838655452294642  9: 0.000787600541673 

test_14852       0: 0.065496061928297  1: 0.000709398005263  2: 0.000709368321686  3: 0.000709391822501  4: 0.000709334643097  5: 0.589565825180281  6: 0.339972437685782  7: 0.000709396112673  8: 0.000709366349265  9: 0.000709419951155 

test_14854       0: 0.002325983174307  1: 0.002325872912640  2: 0.725680817073147  3: 0.002325774084050  4: 0.002325918988448  5: 0.002325880950074  6: 0.002325844491210  7: 0.255711864665894  8: 0.002326370275251  9: 0.002325673384979 

test_14858       0: 0.000386197328890  1: 0.000386195079645  2: 0.046852919788349  3: 0.000386173823352  4: 0.928303555551968  5: 0.000386225891161  6: 0.000386183888555  7: 0.022140174238474  8: 0.000386173625928  9: 0.000386200783678 

test_14859       0: 0.001923513974915  1: 0.563765590286232  2: 0.001923698981335  3: 0.001923704473710  4: 0.060792634665656  5: 0.001923605626459  6: 0.001923506273591  7: 0.001923419644832  8: 0.016030331850066  9: 0.347869994223203 

test_14860       0: 0.001613438783322  1: 0.001613305847431  2: 0.001613583876846  3: 0.001613123838717  4: 0.076970895831938  5: 0.001613171456619  6: 0.054963678031320  7: 0.001613323998331  8: 0.001613213728455  9: 0.856772264607021 

test_14861       0: 0.001786171411185  1: 0.001785897173405  2: 0.670616621877295  3: 0.001785934036550  4: 0.001785909677539  5: 0.001785893427028  6: 0.001785990857490  7: 0.115860587715135  8: 0.201020667451380  9: 0.001786326372993 

test_14862       0: 0.000480862754574  1: 0.000480845214636  2: 0.995672357365018  3: 0.000480808362257  4: 0.000480893046346  5: 0.000480853708385  6: 0.000480822313988  7: 0.000480833538707  8: 0.000480923679859  9: 0.000480800016231 

test_14863       0: 0.112724962854614  1: 0.079607568013633  2: 0.475466134198845  3: 0.105374278881846  4: 0.000699470752864  5: 0.129090632768637  6: 0.074372441027033  7: 0.021265745319219  8: 0.000699416633395  9: 0.000699349549913 

test_14865       0: 0.001515616254374  1: 0.986360584288405  2: 0.001515394298831  3: 0.001515460543575  4: 0.001515259590512  5: 0.001516004593355  6: 0.001515434759285  7: 0.001515442788051  8: 0.001515249638728  9: 0.001515553244884 

test_14867       0: 0.001724348185801  1: 0.001724374194951  2: 0.589031016715444  3: 0.001724373648027  4: 0.001724376481431  5: 0.001724499933223  6: 0.032686632568708  7: 0.001724478234414  8: 0.366211672010486  9: 0.001724228027516 

