Corpus Type: tfidf
Topic Count: 10

test_14826        6: 0.716346760342798   1: 0.141413697284777   0: 0.089762600406294   5: 0.007512142320442   4: 0.007496317648533   8: 0.007494777518466   9: 0.007493890383417   7: 0.007493545316433   3: 0.007493239709685   2: 0.007493029069156 

test_14828        6: 0.821542506152213   4: 0.052774409784073   5: 0.015711452452432   0: 0.015710930521693   1: 0.015710857146676   7: 0.015710071472019   9: 0.015710045476131   8: 0.015709991646449   2: 0.015709986233819   3: 0.015709749114496 

test_14829        6: 0.440427719370760   0: 0.371639090605443   1: 0.089866062120686   8: 0.014014573442473   9: 0.014011927394139   5: 0.014009719363033   4: 0.014008499035040   2: 0.014007728395207   7: 0.014007682662596   3: 0.014006997610624 

test_14832        6: 0.562268786397846   0: 0.235978096512899   7: 0.080055259072116   1: 0.036730741637380   5: 0.014162374535258   9: 0.014161491134660   4: 0.014161048459958   8: 0.014160960661104   2: 0.014160838619760   3: 0.014160402969019 

test_14833        6: 0.525282797443708   7: 0.355511655945291   0: 0.014913272632266   1: 0.014900439515249   5: 0.014899854967106   9: 0.014899828170739   8: 0.014899172883534   2: 0.014897970072345   4: 0.014897591809723   3: 0.014897416560039 

test_14839        6: 0.874373389928445   9: 0.013962963182932   2: 0.013962421996144   1: 0.013957870054154   5: 0.013957719473596   0: 0.013957275418684   7: 0.013957192673814   8: 0.013957148911902   3: 0.013957102498478   4: 0.013956915861850 

test_14840        6: 0.679755143756431   2: 0.127797296505273   7: 0.077156143957237   9: 0.037972705082428   0: 0.022796347435973   8: 0.011793221400330   1: 0.010756433450271   3: 0.010673482428251   5: 0.010650992687411   4: 0.010648233296394 

test_14841        6: 0.448885062675495   5: 0.412002414714673   7: 0.017415952666558   0: 0.017386366073023   8: 0.017385883404825   1: 0.017385649730497   9: 0.017384955345149   4: 0.017384670408886   2: 0.017384568561898   3: 0.017384476418995 

test_14842        6: 0.805453566939744   3: 0.071456181235165   2: 0.015425471627170   5: 0.015381613084650   1: 0.015381143524617   0: 0.015381012309837   4: 0.015380729381161   9: 0.015380340518156   8: 0.015380050642065   7: 0.015379890737435 

test_14843        1: 0.550821626048092   6: 0.322216854690220   0: 0.052497229477589   9: 0.012196327634331   8: 0.010427753449493   5: 0.010369346340252   2: 0.010367822821920   3: 0.010367713556068   7: 0.010367670258475   4: 0.010367655723562 

test_14844        6: 0.589543629378704   1: 0.158039450189356   2: 0.121215630438006   3: 0.018758849096543   7: 0.018742602906459   5: 0.018740842509247   0: 0.018740564125948   8: 0.018739631001824   4: 0.018739530078440   9: 0.018739270275472 

test_14849        6: 0.452360204085570   0: 0.414125988744251   7: 0.040058337125176   1: 0.013370461149181   8: 0.013354584625596   9: 0.013347612346299   5: 0.013346709441130   4: 0.013345817838754   2: 0.013345198819198   3: 0.013345085824844 

test_14852        0: 0.619015526412698   6: 0.261269251516404   5: 0.014967368232711   4: 0.014967182170769   1: 0.014965702324742   8: 0.014963527280505   9: 0.014963077260332   7: 0.014962878604048   2: 0.014962864748629   3: 0.014962621449163 

test_14854        6: 0.748467321392368   5: 0.065061715322956   0: 0.059890516943395   1: 0.018083881652502   9: 0.018083227508436   4: 0.018083188264277   7: 0.018082757919002   8: 0.018082610018819   2: 0.018082500692983   3: 0.018082280285263 

test_14858        6: 0.667218766792603   0: 0.110346474251667   5: 0.068482598068977   3: 0.067603493540147   9: 0.022910069155727   1: 0.022491525269281   7: 0.010265964381866   8: 0.010234810920473   4: 0.010225746772394   2: 0.010220550846865 

test_14859        0: 0.832539891668308   6: 0.018664595245169   5: 0.018611368771667   1: 0.018603018825964   8: 0.018597389384285   9: 0.018597115013727   3: 0.018596873540655   4: 0.018596837396045   2: 0.018596488395618   7: 0.018596421758562 

test_14860        3: 0.480766175125208   5: 0.325020909201439   0: 0.058035925628642   2: 0.019588976591223   1: 0.019447162041626   6: 0.019441974121683   8: 0.019430885483923   9: 0.019424421787195   4: 0.019422424766679   7: 0.019421145252381 

test_14861        9: 0.858062035295678   8: 0.015774152314609   6: 0.015771913079461   0: 0.015771619659169   1: 0.015770999389424   5: 0.015770916664368   4: 0.015769929181998   7: 0.015769515336487   2: 0.015769490452321   3: 0.015769428626486 

test_14862        6: 0.570244516601544   0: 0.326659598589896   1: 0.012888276281801   5: 0.012887345503682   9: 0.012887041534122   8: 0.012886797484233   7: 0.012886745362235   4: 0.012886739759102   2: 0.012886524012209   3: 0.012886414871177 

test_14863        3: 0.377780688600574   6: 0.377031020065439   1: 0.120651594907826   0: 0.041815723628274   5: 0.019072859025610   9: 0.012757980657071   2: 0.012731896637312   8: 0.012724629818263   7: 0.012717376744678   4: 0.012716229914952 

test_14865        3: 0.452876802366460   6: 0.269322378444571   2: 0.102674638182908   0: 0.056785428609422   9: 0.019755714892007   1: 0.019738506501131   5: 0.019717324725640   7: 0.019710289850925   4: 0.019710183375126   8: 0.019708733051811 

