Topic 0
Topic coherence: -79.0087313903
AVG: -1.75574958645
SD:  1.16281162322
bundesbank share  0.07344734039     -5.8029811882/-79.0087313903
bundesbank company  0.070157366053     -5.54304448953/-79.0087313903
bundesbank pct  0.0497605046872     -3.93151434868/-79.0087313903
baker offer  0.0394072307506     -3.11351530921/-79.0087313903
rate share  0.0358050352366     -2.82891041143/-79.0087313903
company rate  0.0342303660862     -2.7044977995/-79.0087313903
baker mark  0.0334020972515     -2.63905732962/-79.0087313903
bundesbank dlrs  0.0312144553315     -2.46621451678/-79.0087313903
baker share  0.0306341854383     -2.42036812865/-79.0087313903
offer rate  0.0297723211724     -2.35227332638/-79.0087313903
bundesbank offer  0.0286746006606     -2.26554382131/-79.0087313903
mark offer  0.0284727083105     -2.24959256285/-79.0087313903
bank share  0.0276472092577     -2.18437092993/-79.0087313903
bank offer  0.0275048970857     -2.17312702576/-79.0087313903
bank company  0.0270325159742     -2.13580479341/-79.0087313903
baker bundesbank  0.0269930426507     -2.1326860562/-79.0087313903
baker company  0.0255022829134     -2.01490302054/-79.0087313903
offer pct  0.0233413142451     -1.84416762749/-79.0087313903
company offer  0.0227140782174     -1.79461050466/-79.0087313903
mark share  0.0205437643186     -1.62313675679/-79.0087313903
baker pct  0.0203703803885     -1.60943791243/-79.0087313903
offer share  0.0194191605388     -1.53428323883/-79.0087313903
bundesbank mark  0.0183457351768     -1.44947326274/-79.0087313903
bank pct  0.0183429942686     -1.44925670706/-79.0087313903
baker dlrs  0.0182199973384     -1.43953887564/-79.0087313903
dlrs mark  0.0181636193878     -1.43508452529/-79.0087313903
pct rate  0.0181431454486     -1.43346690533/-79.0087313903
company mark  0.0167939785553     -1.32687094065/-79.0087313903
dlrs rate  0.0152840060745     -1.20756993051/-79.0087313903
baker bank  0.0141893829301     -1.12108514452/-79.0087313903
pct share  0.0134711340004     -1.06433720776/-79.0087313903
company pct  0.012620769932     -0.997151021497/-79.0087313903
bank dlrs  0.0119538890477     -0.944461608841/-79.0087313903
dlrs pct  0.0108587946327     -0.857939588357/-79.0087313903
mark rate  0.0108249558623     -0.855266030036/-79.0087313903
company share  0.0101316234945     -0.800486719227/-79.0087313903
bank mark  0.00957268986444     -0.756326082181/-79.0087313903
bank rate  0.00925946090443     -0.731578259416/-79.0087313903
dlrs offer  0.00853695253803     -0.674493789969/-79.0087313903
mark pct  0.00777984349707     -0.614675565118/-79.0087313903
baker rate  0.00760940815851     -0.601209685234/-79.0087313903
company dlrs  0.00750544817952     -0.592995939179/-79.0087313903
dlrs share  0.00583898372785     -0.461330696946/-79.0087313903
bank bundesbank  0.00543398915487     -0.429332589515/-79.0087313903
bundesbank rate  0.00507234086688     -0.400759217071/-79.0087313903

Topic 1
Topic coherence: -94.3604879587
AVG: -2.09689973242
SD:  1.04417852607
common franc  0.0462386187182     -4.36309862479/-94.3604879587
company franc  0.041881467564     -3.95195571576/-94.3604879587
franc share  0.0413175452977     -3.89874373555/-94.3604879587
franc stake  0.0394146414889     -3.71918480361/-94.3604879587
share sumita  0.0385498871235     -3.63758615973/-94.3604879587
stake sumita  0.0385498871235     -3.63758615973/-94.3604879587
franc sumita  0.0385498871235     -3.63758615973/-94.3604879587
offer sumita  0.0385498871235     -3.63758615973/-94.3604879587
common sumita  0.0385498871235     -3.63758615973/-94.3604879587
franc group  0.0367286772014     -3.4657359028/-94.3604879587
company sumita  0.0312041516832     -2.94443897917/-94.3604879587
security sumita  0.0312041516832     -2.94443897917/-94.3604879587
stock sumita  0.0269071719104     -2.53897387106/-94.3604879587
franc security  0.0264019029763     -2.49129644789/-94.3604879587
group sumita  0.0238584162429     -2.25129179861/-94.3604879587
company stake  0.0229586372819     -2.16638821678/-94.3604879587
franc offer  0.0229531882921     -2.16587404745/-94.3604879587
franc stock  0.0229531882921     -2.16587404745/-94.3604879587
company security  0.0216012705426     -2.03830642893/-94.3604879587
common group  0.02044148695     -1.9288686832/-94.3604879587
share stake  0.0193652338722     -1.82731291761/-94.3604879587
common company  0.019317858605     -1.82284256429/-94.3604879587
group security  0.0190548938559     -1.79802908224/-94.3604879587
security share  0.0190296599966     -1.79564800297/-94.3604879587
company offer  0.0190186649463     -1.79461050466/-94.3604879587
offer security  0.0190106447056     -1.79385371083/-94.3604879587
common offer  0.0179341369955     -1.69227391801/-94.3604879587
offer stake  0.0168798012102     -1.59278627884/-94.3604879587
group offer  0.0168512794284     -1.59009494959/-94.3604879587
offer share  0.0162598061119     -1.53428323883/-94.3604879587
company group  0.0161357243835     -1.52257482639/-94.3604879587
group share  0.0154050213947     -1.45362533582/-94.3604879587
common share  0.0144698775081     -1.36538470237/-94.3604879587
company stock  0.0139136455793     -1.31289838615/-94.3604879587
group stock  0.0138636055213     -1.30817658186/-94.3604879587
common security  0.0121886379352     -1.15012582312/-94.3604879587
common stake  0.0120457164736     -1.13663968426/-94.3604879587
offer stock  0.0119691690938     -1.12941663615/-94.3604879587
share stock  0.00984389751129     -0.928874972581/-94.3604879587
group stake  0.00968091785772     -0.913496132943/-94.3604879587
security stock  0.00951607619493     -0.897941593206/-94.3604879587
stake stock  0.00943728284987     -0.890506614718/-94.3604879587
security stake  0.00929374581015     -0.876962389611/-94.3604879587
company share  0.00644801979426     -0.608438294154/-94.3604879587
common stock  0.00425273062252     -0.401289736698/-94.3604879587

Topic 2
Topic coherence: -153.656300412
AVG: -3.41458445361
SD:  1.39058953383
oil reichhold  0.0453657289641     -6.97073007814/-153.656300412
crude gencorp  0.0379921319952     -5.83773044717/-153.656300412
crude reichhold  0.0379921319952     -5.83773044717/-153.656300412
barrel reichhold  0.0379157905777     -5.82600010738/-153.656300412
bell crude  0.0334811085051     -5.14458326661/-153.656300412
oil p  0.0318326584939     -4.89128853646/-153.656300412
foot p  0.0299705913368     -4.60517018599/-153.656300412
foot reichhold  0.0299705913368     -4.60517018599/-153.656300412
crude p  0.0275178598169     -4.22829253473/-153.656300412
bbl oil  0.0269270880724     -4.13751673409/-153.656300412
mobil oil  0.0258694098056     -3.97499780459/-153.656300412
bbl foot  0.0254595678467     -3.91202300543/-153.656300412
bell gencorp  0.0244780077719     -3.76120011569/-153.656300412
gencorp oil  0.0244780077719     -3.76120011569/-153.656300412
foot gencorp  0.0244780077719     -3.76120011569/-153.656300412
bbl gencorp  0.0244780077719     -3.76120011569/-153.656300412
gencorp p  0.0244780077719     -3.76120011569/-153.656300412
barrel gencorp  0.0244780077719     -3.76120011569/-153.656300412
gencorp mobil  0.0244780077719     -3.76120011569/-153.656300412
gencorp reichhold  0.0244780077719     -3.76120011569/-153.656300412
crude mobil  0.0236925258519     -3.64050586983/-153.656300412
barrel mobil  0.0229304949093     -3.52341501439/-153.656300412
bell foot  0.0219144663834     -3.36729582999/-153.656300412
bell p  0.0219144663834     -3.36729582999/-153.656300412
bell mobil  0.0219144663834     -3.36729582999/-153.656300412
bell reichhold  0.0219144663834     -3.36729582999/-153.656300412
p reichhold  0.021449409215     -3.295836866/-153.656300412
crude foot  0.021299361503     -3.2727810897/-153.656300412
bbl mobil  0.0212037939823     -3.25809653802/-153.656300412
bbl reichhold  0.0212037939823     -3.25809653802/-153.656300412
foot mobil  0.0209485443566     -3.21887582487/-153.656300412
mobil reichhold  0.0209485443566     -3.21887582487/-153.656300412
foot oil  0.0201718319321     -3.09952906724/-153.656300412
bell oil  0.0174034428933     -2.67414864943/-153.656300412
bbl bell  0.0174034428933     -2.67414864943/-153.656300412
barrel bell  0.0174034428933     -2.67414864943/-153.656300412
mobil p  0.0169383857249     -2.60268968544/-153.656300412
bbl crude  0.0165427227802     -2.54189358116/-153.656300412
bbl p  0.0140539909106     -2.15948424935/-153.656300412
barrel p  0.00978858265322     -1.50407739678/-153.656300412
barrel oil  0.0079278066441     -1.21815743932/-153.656300412
