Topic 0
Topic coherence: -2985.35476035
AVG: -2.43702429417
SD:  1.50000500729
company volcker  0.0026599651967     -7.94093976233/-2985.35476035
heller mln  0.00261026108095     -7.79255534376/-2985.35476035
share volcker  0.00259563501134     -7.74889133726/-2985.35476035
dlrs heller  0.00256184781393     -7.64802456661/-2985.35476035
heller stock  0.00246710381755     -7.36518012602/-2985.35476035
bank hughes  0.00244429610245     -7.29709100516/-2985.35476035
group newmont  0.00239657123901     -7.15461535691/-2985.35476035
corp heller  0.00238862694813     -7.1308988303/-2985.35476035
mln newmont  0.00237807856456     -7.0994081632/-2985.35476035
heller share  0.00236345249496     -7.0557441567/-2985.35476035
heller pct  0.00233675303151     -6.9760367864/-2985.35476035
heller sell  0.0023254042695     -6.9421567057/-2985.35476035
mln volcker  0.0023033324894     -6.87626461189/-2985.35476035
newmont offer  0.00229880816987     -6.86275791305/-2985.35476035
heller offer  0.00229880816987     -6.86275791305/-2985.35476035
heller sale  0.00227709634488     -6.79794041297/-2985.35476035
acquire volcker  0.00227182114035     -6.78219205601/-2985.35476035
heller quarter  0.00225786209704     -6.74051935961/-2985.35476035
billion heller  0.00225766406655     -6.73992816834/-2985.35476035
dlrs newmont  0.00225491922238     -6.73173383474/-2985.35476035
corp volcker  0.00225280888272     -6.72543372219/-2985.35476035
acquisition volcker  0.00221392423137     -6.60934924317/-2985.35476035
acquisition heller  0.00221392423137     -6.60934924317/-2985.35476035
bank newmont  0.00221211358607     -6.6039438246/-2985.35476035
company heller  0.00219560016393     -6.55464540121/-2985.35476035
dollar lease  0.00216595521916     -6.46614472424/-2985.35476035
dollar hughes  0.00216595521916     -6.46614472424/-2985.35476035
group heller  0.00216438872263     -6.46146817635/-2985.35476035
earnings volcker  0.00214221160012     -6.39526159812/-2985.35476035
earnings heller  0.00214221160012     -6.39526159812/-2985.35476035
resort sale  0.00214127827947     -6.39247530487/-2985.35476035
gnp share  0.00213126997858     -6.36259697614/-2985.35476035
billion newmont  0.00212184600114     -6.33446306023/-2985.35476035
newmont rate  0.00211786060534     -6.32256523993/-2985.35476035
hughes rate  0.00211786060534     -6.32256523993/-2985.35476035
hughes stock  0.00209910323576     -6.26656783735/-2985.35476035
growth hughes  0.00209804152785     -6.26339826259/-2985.35476035
exchange hughes  0.00209322175312     -6.24900952514/-2985.35476035
bank heller  0.00207629552066     -6.19847871649/-2985.35476035
hughes mln  0.00207114997301     -6.18311743133/-2985.35476035
hughes offer  0.00206662565348     -6.16961073249/-2985.35476035
lt resort  0.00205871672271     -6.14599976837/-2985.35476035
dlrs volcker  0.00205802916673     -6.14394716983/-2985.35476035
tender volcker  0.00205449554085     -6.133398043/-2985.35476035
heller tender  0.00205449554085     -6.133398043/-2985.35476035
hughes tender  0.00205449554085     -6.133398043/-2985.35476035
acquire heller  0.00203963862396     -6.08904487545/-2985.35476035
mln resort  0.00203922405885     -6.08780725153/-2985.35476035
group hughes  0.00202857065722     -6.05600306825/-2985.35476035
dlrs hughes  0.00202273670599     -6.03858665418/-2985.35476035
hughes pct  0.00200820606415     -5.99520753339/-2985.35476035
hughes share  0.00199545191317     -5.95713186803/-2985.35476035
heller rate  0.00198204253994     -5.91710013182/-2985.35476035
acquisition hughes  0.00198174171498     -5.91620206261/-2985.35476035
business heller  0.00197351560695     -5.89164421183/-2985.35476035
pct volcker  0.00196875244972     -5.87742449773/-2985.35476035
exchange heller  0.00195740368771     -5.84354441703/-2985.35476035
bundesbank share  0.00194381628116     -5.8029811882/-2985.35476035
newmont share  0.00194381628116     -5.8029811882/-2985.35476035
increase resort  0.00194378016789     -5.8028733773/-2985.35476035
newmont pct  0.00193345998899     -5.77206398207/-2985.35476035
group resort  0.00193220620624     -5.76832099579/-2985.35476035
gnp offer  0.00193080758807     -5.76414562438/-2985.35476035
offer volcker  0.00193080758807     -5.76414562438/-2985.35476035
newmont stock  0.00192799270962     -5.75574221359/-2985.35476035
company newmont  0.00192396403311     -5.74371518499/-2985.35476035
company resort  0.00192396403311     -5.74371518499/-2985.35476035
earnings hughes  0.00191002908374     -5.70211441756/-2985.35476035
dlrs resort  0.00191002908374     -5.70211441756/-2985.35476035
sale volcker  0.00190909576309     -5.69932812431/-2985.35476035
expect heller  0.00190541186114     -5.6883303701/-2985.35476035
expect hughes  0.00190541186114     -5.6883303701/-2985.35476035
mark newmont  0.00190382055855     -5.68357976734/-2985.35476035
lease mark  0.00190382055855     -5.68357976734/-2985.35476035
heller mark  0.00190382055855     -5.68357976734/-2985.35476035
hughes mark  0.00190382055855     -5.68357976734/-2985.35476035
hughes quarter  0.00188986151524     -5.64190707094/-2985.35476035
quarter resort  0.00188986151524     -5.64190707094/-2985.35476035
company gnp  0.00188867157238     -5.63835466933/-2985.35476035
stock volcker  0.00186692071938     -5.57342065679/-2985.35476035
growth newmont  0.00186585901147     -5.57025108203/-2985.35476035
sell volcker  0.00186103923673     -5.55586234458/-2985.35476035
newmont sale  0.00185746013108     -5.54517744448/-2985.35476035
bundesbank company  0.00185674565822     -5.54304448953/-2985.35476035
corp resort  0.00184951584019     -5.52146091786/-2985.35476035
expect newmont  0.0018443398709     -5.5060088133/-2985.35476035
billion hughes  0.00183802785274     -5.48716519984/-2985.35476035
business resort  0.00183769754154     -5.48617910372/-2985.35476035
company hughes  0.00182759958213     -5.45603311254/-2985.35476035
lease tender  0.00182231302446     -5.44025086244/-2985.35476035
resort unit  0.0018078356754     -5.39703083948/-2985.35476035
acquire hughes  0.00180745610758     -5.39589769489/-2985.35476035
pct resort  0.00179764192358     -5.36659887396/-2985.35476035
resort sell  0.00178629316157     -5.33271879327/-2985.35476035
exchange resort  0.00178629316157     -5.33271879327/-2985.35476035
resort year  0.00177939009435     -5.31211068868/-2985.35476035
resort stock  0.0017705562684     -5.28573858434/-2985.35476035
resort share  0.00176326939678     -5.26398468747/-2985.35476035
corp hughes  0.00176163205902     -5.25909665339/-2985.35476035
lease offer  0.00175969706193     -5.25332000062/-2985.35476035
billion volcker  0.00175384541934     -5.23585077156/-2985.35476035
expect resort  0.00174797541992     -5.21832674085/-2985.35476035
hughes sale  0.00173798523695     -5.18850250054/-2985.35476035
growth heller  0.00173004094606     -5.16478597392/-2985.35476035
quarter volcker  0.0017187509891     -5.13108144717/-2985.35476035
billion resort  0.00171855295861     -5.1304902559/-2985.35476035
dlrs gnp  0.00171580811444     -5.1222959223/-2985.35476035
board resort  0.00170911094064     -5.10230248262/-2985.35476035
dollar heller  0.00170159018639     -5.07985036312/-2985.35476035
resort u.s.  0.00170050646952     -5.0766150838/-2985.35476035
market resort  0.00169310101618     -5.05450717843/-2985.35476035
earnings resort  0.00167784656736     -5.008967237/-2985.35476035
expect volcker  0.00167322934476     -4.99518318954/-2985.35476035
acquire currency  0.00167163804217     -4.99043258678/-2985.35476035
analyst newmont  0.00166935155845     -4.98360662171/-2985.35476035
analyst lease  0.00166935155845     -4.98360662171/-2985.35476035
analyst heller  0.00166935155845     -4.98360662171/-2985.35476035
baker newmont  0.00164311285331     -4.90527477844/-2985.35476035
baker lease  0.00164311285331     -4.90527477844/-2985.35476035
bank lease  0.00164107656397     -4.89919573236/-2985.35476035
bank resort  0.00164107656397     -4.89919573236/-2985.35476035
lease pct  0.00164020548236     -4.89659524472/-2985.35476035
lease stock  0.00163473820299     -4.88027347623/-2985.35476035
hughes sell  0.00162885672035     -4.86271516402/-2985.35476035
dollar resort  0.00162684411123     -4.8567068118/-2985.35476035
acquire resort  0.00162000241016     -4.83628190695/-2985.35476035
corp currency  0.00161733332381     -4.8283137373/-2985.35476035
lease rate  0.00161404195814     -4.81848784315/-2985.35476035
rate resort  0.00161404195814     -4.81848784315/-2985.35476035
bond lt  0.00160748939595     -4.79892612041/-2985.35476035
group volcker  0.00159335170054     -4.75672008412/-2985.35476035
billion lease  0.0015827348932     -4.7250251478/-2985.35476035
analyst resort  0.00157298710747     -4.69592454926/-2985.35476035
currency lt  0.00156952784886     -4.6855974351/-2985.35476035
group lease  0.00156420562445     -4.66970870713/-2985.35476035
bundesbank newmont  0.00156210550118     -4.66343909411/-2985.35476035
acquisition bundesbank  0.00156210550118     -4.66343909411/-2985.35476035
bundesbank lease  0.00156210550118     -4.66343909411/-2985.35476035
bundesbank earnings  0.00156210550118     -4.66343909411/-2985.35476035
bundesbank heller  0.00156210550118     -4.66343909411/-2985.35476035
bundesbank hughes  0.00156210550118     -4.66343909411/-2985.35476035
acquisition resort  0.00156210550118     -4.66343909411/-2985.35476035
growth lease  0.00155893041992     -4.65396035016/-2985.35476035
lease mln  0.00154571295     -4.61450151342/-2985.35476035
lease share  0.0015310868804     -4.57083750691/-2985.35476035
business volcker  0.00150915057418     -4.50534985071/-2985.35476035
business hughes  0.00150915057418     -4.50534985071/-2985.35476035
analyst hughes  0.0014982410323     -4.47278099794/-2985.35476035
dlrs lease  0.00149729968298     -4.46997073626/-2985.35476035
offer resort  0.00149558863139     -4.46486264025/-2985.35476035
bank volcker  0.00149525869434     -4.4638776611/-2985.35476035
lease sale  0.00148945954929     -4.44656515581/-2985.35476035
bond corp  0.0014815152584     -4.42284862919/-2985.35476035
bond resort  0.00148017269722     -4.4188406078/-2985.35476035
corp lease  0.0014705316985     -4.39005880637/-2985.35476035
expect lease  0.00145822846959     -4.35332930336/-2985.35476035
capital resort  0.00145379303093     -4.34008794545/-2985.35476035
growth resort  0.00144622279766     -4.31748811354/-2985.35476035
mark resort  0.00143945552579     -4.29728540622/-2985.35476035
lease volcker  0.00141340244088     -4.21950770518/-2985.35476035
heller lease  0.00141340244088     -4.21950770518/-2985.35476035
bond lease  0.00141340244088     -4.21950770518/-2985.35476035
lease resort  0.00141340244088     -4.21950770518/-2985.35476035
currency lease  0.00141340244088     -4.21950770518/-2985.35476035
acquire bond  0.00141264373486     -4.21724269855/-2985.35476035
baker gnp  0.00141093033693     -4.21212759788/-2985.35476035
acquisition baker  0.00141093033693     -4.21212759788/-2985.35476035
baker heller  0.00141093033693     -4.21212759788/-2985.35476035
baker resort  0.00141093033693     -4.21212759788/-2985.35476035
company lease  0.00140796336833     -4.20327014404/-2985.35476035
bond mln  0.00140527455527     -4.19524308318/-2985.35476035
gnp newmont  0.00140340263665     -4.18965474203/-2985.35476035
gnp lease  0.00140340263665     -4.18965474203/-2985.35476035
acquire gnp  0.00140340263665     -4.18965474203/-2985.35476035
gnp heller  0.00140340263665     -4.18965474203/-2985.35476035
gnp hughes  0.00140340263665     -4.18965474203/-2985.35476035
gnp resort  0.00140340263665     -4.18965474203/-2985.35476035
business lease  0.00140247858485     -4.18689611959/-2985.35476035
exchange volcker  0.00139667420396     -4.16956798346/-2985.35476035
acquisition bond  0.0013815586168     -4.12444259338/-2985.35476035
bond earnings  0.0013709179758     -4.09267650512/-2985.35476035
bond unit  0.00136508901844     -4.0752749995/-2985.35476035
bond share  0.00135997635425     -4.06001188314/-2985.35476035
resort tender  0.00135794799169     -4.05395650132/-2985.35476035
bond company  0.00135632773632     -4.04911946422/-2985.35476035
acquisition lease  0.00135474682588     -4.04439988571/-2985.35476035
bid quarter  0.00135075040731     -4.0324691585/-2985.35476035
bid resort  0.00134761774593     -4.02311705293/-2985.35476035
analyst volcker  0.00134080459108     -4.0027773687/-2985.35476035
bundesbank corp  0.00132992298479     -3.97029191355/-2985.35476035
