Corpus Type: tfidf
Topic Count: 10

test_14826       0: 0.089762600406294  1: 0.141413697284777  2: 0.007493029069156  3: 0.007493239709685  4: 0.007496317648533  5: 0.007512142320442  6: 0.716346760342798  7: 0.007493545316433  8: 0.007494777518466  9: 0.007493890383417 

test_14828       0: 0.015710930521693  1: 0.015710857146676  2: 0.015709986233819  3: 0.015709749114496  4: 0.052774409784073  5: 0.015711452452432  6: 0.821542506152213  7: 0.015710071472019  8: 0.015709991646449  9: 0.015710045476131 

test_14829       0: 0.371639090605443  1: 0.089866062120686  2: 0.014007728395207  3: 0.014006997610624  4: 0.014008499035040  5: 0.014009719363033  6: 0.440427719370760  7: 0.014007682662596  8: 0.014014573442473  9: 0.014011927394139 

test_14832       0: 0.235978096512899  1: 0.036730741637380  2: 0.014160838619760  3: 0.014160402969019  4: 0.014161048459958  5: 0.014162374535258  6: 0.562268786397846  7: 0.080055259072116  8: 0.014160960661104  9: 0.014161491134660 

test_14833       0: 0.014913272632266  1: 0.014900439515249  2: 0.014897970072345  3: 0.014897416560039  4: 0.014897591809723  5: 0.014899854967106  6: 0.525282797443708  7: 0.355511655945291  8: 0.014899172883534  9: 0.014899828170739 

test_14839       0: 0.013957275418684  1: 0.013957870054154  2: 0.013962421996144  3: 0.013957102498478  4: 0.013956915861850  5: 0.013957719473596  6: 0.874373389928445  7: 0.013957192673814  8: 0.013957148911902  9: 0.013962963182932 

test_14840       0: 0.022796347435973  1: 0.010756433450271  2: 0.127797296505273  3: 0.010673482428251  4: 0.010648233296394  5: 0.010650992687411  6: 0.679755143756431  7: 0.077156143957237  8: 0.011793221400330  9: 0.037972705082428 

test_14841       0: 0.017386366073023  1: 0.017385649730497  2: 0.017384568561898  3: 0.017384476418995  4: 0.017384670408886  5: 0.412002414714673  6: 0.448885062675495  7: 0.017415952666558  8: 0.017385883404825  9: 0.017384955345149 

test_14842       0: 0.015381012309837  1: 0.015381143524617  2: 0.015425471627170  3: 0.071456181235165  4: 0.015380729381161  5: 0.015381613084650  6: 0.805453566939744  7: 0.015379890737435  8: 0.015380050642065  9: 0.015380340518156 

test_14843       0: 0.052497229477589  1: 0.550821626048092  2: 0.010367822821920  3: 0.010367713556068  4: 0.010367655723562  5: 0.010369346340252  6: 0.322216854690220  7: 0.010367670258475  8: 0.010427753449493  9: 0.012196327634331 

test_14844       0: 0.018740564125948  1: 0.158039450189356  2: 0.121215630438006  3: 0.018758849096543  4: 0.018739530078440  5: 0.018740842509247  6: 0.589543629378704  7: 0.018742602906459  8: 0.018739631001824  9: 0.018739270275472 

test_14849       0: 0.414125988744251  1: 0.013370461149181  2: 0.013345198819198  3: 0.013345085824844  4: 0.013345817838754  5: 0.013346709441130  6: 0.452360204085570  7: 0.040058337125176  8: 0.013354584625596  9: 0.013347612346299 

test_14852       0: 0.619015526412698  1: 0.014965702324742  2: 0.014962864748629  3: 0.014962621449163  4: 0.014967182170769  5: 0.014967368232711  6: 0.261269251516404  7: 0.014962878604048  8: 0.014963527280505  9: 0.014963077260332 

test_14854       0: 0.059890516943395  1: 0.018083881652502  2: 0.018082500692983  3: 0.018082280285263  4: 0.018083188264277  5: 0.065061715322956  6: 0.748467321392368  7: 0.018082757919002  8: 0.018082610018819  9: 0.018083227508436 

test_14858       0: 0.110346474251667  1: 0.022491525269281  2: 0.010220550846865  3: 0.067603493540147  4: 0.010225746772394  5: 0.068482598068977  6: 0.667218766792603  7: 0.010265964381866  8: 0.010234810920473  9: 0.022910069155727 

test_14859       0: 0.832539891668308  1: 0.018603018825964  2: 0.018596488395618  3: 0.018596873540655  4: 0.018596837396045  5: 0.018611368771667  6: 0.018664595245169  7: 0.018596421758562  8: 0.018597389384285  9: 0.018597115013727 

test_14860       0: 0.058035925628642  1: 0.019447162041626  2: 0.019588976591223  3: 0.480766175125208  4: 0.019422424766679  5: 0.325020909201439  6: 0.019441974121683  7: 0.019421145252381  8: 0.019430885483923  9: 0.019424421787195 

test_14861       0: 0.015771619659169  1: 0.015770999389424  2: 0.015769490452321  3: 0.015769428626486  4: 0.015769929181998  5: 0.015770916664368  6: 0.015771913079461  7: 0.015769515336487  8: 0.015774152314609  9: 0.858062035295678 

